date,open,high,low,close,volume
8/29/2019,182.7521,183.8116,182.0743,183.2886,25427207
8/30/2019,184.2835,184.3127,181.8158,182.8497,26332749
9/3/2019,181.6695,182.5668,180.4698,181.0745,28026617
9/4/2019,182.8107,183.8445,182.2937,183.6885,21676335
9/5/2019,185.6977,187.585,185.649,187.0535,34060994
9/6/2019,187.2973,187.4338,186.4585,186.8681,19487821
9/9/2019,187.4436,187.5314,185.527,186.478,24407580
9/10/2019,185.5026,186.0391,184.2542,185.9416,23744687
9/11/2019,186.2732,187.785,185.8635,187.6874,25063617
9/12/2019,188.8676,189.9112,188.2141,188.4677,28689878
9/13/2019,188.1946,188.6335,187.5509,187.7947,27669795
9/16/2019,186.5853,187.3461,186.4,186.9559,20318987
9/17/2019,186.9754,187.8533,186.5755,187.8533,21113675
9/18/2019,187.4631,187.8533,185.4246,187.7752,31173056
9/19/2019,188.1068,189.2529,187.7265,188.0873,26214873
9/20/2019,188.3507,188.5458,185.4734,186.0976,30131528
9/23/2019,186.0429,186.7368,185.4174,186.1797,22917563
9/24/2019,187.03,187.4404,182.9066,183.7071,41096614
9/25/2019,183.5311,186.2579,181.987,185.7692,36499191
9/26/2019,185.564,185.691,183.7168,185.0851,27030029
9/27/2019,185.3978,185.5249,181.5374,182.7884,40804222
9/30/2019,183.4921,184.8212,183.15,184.528,26559841
10/1/2019,185.2415,186.2675,182.7151,183.0229,32665025
10/2/2019,181.7915,182.9584,178.8693,179.876,48931982
10/3/2019,179.8955,181.9836,177.6965,181.8502,39612315
10/4/2019,182.7493,184.7919,182.6418,184.528,32752668
10/7/2019,183.9612,185.4369,183.6484,183.9709,21404580
10/8/2019,182.7688,183.5958,181.0683,181.2149,33201939
10/9/2019,182.72,183.8146,182.202,182.9838,20829012
10/10/2019,183.0034,185.134,182.8763,184.401,26693780
10/11/2019,186.4729,188.2614,186.3947,186.7759,41428907
10/14/2019,186.4924,187.3525,186.3214,186.7563,15372774
10/15/2019,187.3036,189.571,187.2157,189.1312,23735826
10/16/2019,188.5057,189.141,188.0659,188.6621,20689207
10/17/2019,189.7762,190.089,188.4373,189.1605,19161821
10/18/2019,188.8771,189.2778,186.38,187.3427,26288444
10/21/2019,188.2809,189.1312,187.7825,189.0041,15868946
10/22/2019,189.659,190.0108,187.4404,187.4991,22988988
10/23/2019,187.0886,187.898,186.8149,187.8607,15198327
10/24/2019,189.2289,189.8056,188.3689,189.6883,19264220
10/25/2019,188.711,191.3009,188.6719,191.2031,21507115
10/28/2019,192.112,193.3435,192.0925,193.0894,18842303
10/29/2019,192.7668,193.0551,191.5647,191.594,18569675
10/30/2019,191.9654,192.845,190.8611,192.5225,21764311
10/31/2019,193.0796,193.1675,191.4963,192.6105,26801803
11/1/2019,193.4412,194.3696,193.148,194.3599,22131875
11/4/2019,195.6499,195.9774,194.3558,195.562,19015855
11/5/2019,195.8063,196.0018,195.0244,195.6695,15048864
11/6/2019,195.4447,195.4642,194.2768,195.2297,19725486
11/7/2019,196.207,197.1452,195.3176,195.8845,17832355
11/8/2019,195.4838,196.6859,195.0147,196.6663,15272516
11/11/2019,195.689,196.477,195.4056,196.4025,10187222
11/12/2019,196.5686,197.6241,196.2656,196.9693,14778283
11/13/2019,196.2852,197.199,196.1581,197.0182,16110341
11/14/2019,196.2754,196.9889,195.6793,196.8618,17055686
11/15/2019,198.015,198.3082,197.4189,198.3082,18434519
11/18/2019,198.015,198.7774,197.1941,198.4646,18408797
11/19/2019,199.2172,199.2172,197.9955,198.7578,16997568
11/20/2019,198.2496,198.836,196.0702,197.5655,36706275
11/21/2019,197.3602,197.4873,196.51,197.1257,17934353
11/22/2019,197.585,197.7316,196.1875,197.2527,17197019
11/25/2019,198.0737,199.6276,198.0737,199.5885,17794718
11/26/2019,199.6863,200.2238,199.4224,199.9697,14812921
11/27/2019,200.4779,201.377,200.2433,201.3673,17060233
11/29/2019,200.9275,201.162,200.3508,200.4486,9854553
12/2/2019,200.4584,200.5268,197.2039,198.3962,28121020
12/3/2019,195.777,196.9204,189.3902,196.8423,31425404
12/4/2019,197.8978,198.3082,197.5557,197.8391,15336754
12/5/2019,198.5428,198.5428,197.2625,198.2301,15038785
12/6/2019,199.6179,200.4926,199.5202,200.3508,16562247
12/9/2019,199.9892,200.9311,199.354,199.4419,14032175
12/10/2019,199.5397,200.2336,198.8262,199.2758,21849714
12/11/2019,199.7351,200.5365,199.4126,200.3313,18897759
12/12/2019,200.1261,202.6182,199.8534,201.8266,32704625
12/13/2019,201.68,203.1949,201.2891,202.4912,32534393
12/16/2019,203.7715,204.7781,203.7519,204.524,21366177
12/17/2019,204.7488,204.954,204.2992,204.6413,16034647
12/18/2019,204.8465,205.3645,204.5826,204.7977,15490828
12/19/2019,204.8856,206.1464,204.8661,206.0779,17892062
12/20/2019,207.0064,207.6989,206.4787,206.9087,27690934
12/23/2019,207.6692,207.7867,207.2774,207.4537,23798671
12/24/2019,207.6104,207.7279,207.0913,207.5614,7089020
12/26/2019,207.8944,209.4125,207.865,209.393,17159310
12/27/2019,210.1373,210.1471,208.6584,209.2167,18142239
12/30/2019,209.1187,209.2362,206.817,207.8454,21829913
12/31/2019,207.2676,208.3841,206.8562,208.2372,18201585
1/2/2020,209.9904,211.7142,209.579,211.7142,31014904
1/3/2020,208.9032,211.0384,208.8934,209.7749,27532657
1/6/2020,208.1197,211.1559,207.8748,211.1265,21447323
1/7/2020,211.2049,211.6946,210.4312,211.0972,23120994
1/8/2020,211.0384,213.6535,210.7348,212.6838,26464212
